Date	US
01-1975	35.6
02-1975	35.9
03-1975	36.2
04-1975	36.5
05-1975	36.8
06-1975	36.8
07-1975	36.7
08-1975	36.7
09-1975	37.0
10-1975	37.2
11-1975	37.5
12-1975	37.5
01-1976	37.5
02-1976	37.5
03-1976	38.2
04-1976	38.8
05-1976	39.5
06-1976	39.6
07-1976	39.8
08-1976	40.0
09-1976	40.1
10-1976	40.2
11-1976	40.3
12-1976	40.7
01-1977	41.1
02-1977	41.6
03-1977	42.3
04-1977	43.1
05-1977	43.8
06-1977	44.0
07-1977	44.3
08-1977	44.5
09-1977	45.1
10-1977	45.8
11-1977	46.4
12-1977	46.8
01-1978	47.2
02-1978	47.6
03-1978	48.3
04-1978	49.0
05-1978	49.7
06-1978	50.2
07-1978	50.7
08-1978	51.2
09-1978	51.6
10-1978	52.0
11-1978	52.3
12-1978	53.2
01-1979	54.1
02-1979	54.9
03-1979	55.5
04-1979	56.1
05-1979	56.7
06-1979	57.1
07-1979	57.5
08-1979	57.9
09-1979	58.2
10-1979	58.6
11-1979	59.0
12-1979	59.3
01-1980	59.7
02-1980	60.1
03-1980	60.3
04-1980	60.6
05-1980	60.8
06-1980	61.5
07-1980	62.3
08-1980	63.0
09-1980	62.9
10-1980	62.9
11-1980	62.8
12-1980	62.9
01-1981	63.0
02-1981	63.1
03-1981	63.6
04-1981	64.0
05-1981	64.5
06-1981	64.9
07-1981	65.4
08-1981	65.8
09-1981	65.6
10-1981	65.5
11-1981	65.3
12-1981	65.8
01-1982	66.2
02-1982	66.7
03-1982	66.9
04-1982	67.1
05-1982	67.4
06-1982	67.0
07-1982	66.7
08-1982	66.3
09-1982	66.7
10-1982	67.0
11-1982	67.4
12-1982	67.8
01-1983	68.2
02-1983	68.6
03-1983	68.9
04-1983	69.1
05-1983	69.3
06-1983	69.5
07-1983	69.7
08-1983	69.9
09-1983	70.0
10-1983	70.1
11-1983	70.2
12-1983	70.6
01-1984	71.0
02-1984	71.4
03-1984	71.7
04-1984	72.0
05-1984	72.3
06-1984	72.5
07-1984	72.7
08-1984	73.0
09-1984	73.1
10-1984	73.3
11-1984	73.5
12-1984	73.8
01-1985	74.2
02-1985	74.6
03-1985	74.9
04-1985	75.3
05-1985	75.7
06-1985	76.1
07-1985	76.5
08-1985	77.0
09-1985	77.2
10-1985	77.4
11-1985	77.6
12-1985	78.2
01-1986	78.7
02-1986	79.2
03-1986	79.8
04-1986	80.4
05-1986	80.9
06-1986	81.3
07-1986	81.7
08-1986	82.1
09-1986	82.5
10-1986	82.9
11-1986	83.3
12-1986	83.9
01-1987	84.5
02-1987	85.1
03-1987	85.5
04-1987	85.9
05-1987	86.4
06-1987	86.7
07-1987	87.1
08-1987	87.4
09-1987	87.5
10-1987	87.6
11-1987	87.8
12-1987	88.2
01-1988	88.7
02-1988	89.2
03-1988	89.8
04-1988	90.5
05-1988	91.2
06-1988	91.4
07-1988	91.7
08-1988	92.0
09-1988	92.2
10-1988	92.5
11-1988	92.8
12-1988	93.2
01-1989	93.5
02-1989	93.9
03-1989	94.3
04-1989	94.7
05-1989	95.1
06-1989	95.8
07-1989	96.6
08-1989	97.4
09-1989	97.6
10-1989	97.8
11-1989	98.0
12-1989	98.2
01-1990	98.4
02-1990	98.6
03-1990	98.7
04-1990	98.8
05-1990	98.9
06-1990	99.2
07-1990	99.5
08-1990	99.7
09-1990	99.5
10-1990	99.2
11-1990	99.0
12-1990	99.3
01-1991	99.7
02-1991	100.1
03-1991	100.2
04-1991	100.4
05-1991	100.6
06-1991	100.6
07-1991	100.7
08-1991	100.7
09-1991	101.0
10-1991	101.2
11-1991	101.5
12-1991	101.7
01-1992	102.0
02-1992	102.3
03-1992	102.4
04-1992	102.5
05-1992	102.6
06-1992	103.0
07-1992	103.4
08-1992	103.8
09-1992	104.0
10-1992	104.2
11-1992	104.4
12-1992	104.1
01-1993	103.8
02-1993	103.5
03-1993	104.2
04-1993	104.9
05-1993	105.7
06-1993	105.9
07-1993	106.2
08-1993	106.5
09-1993	106.7
10-1993	106.9
11-1993	107.1
12-1993	107.2
01-1994	107.4
02-1994	107.5
03-1994	108.1
04-1994	108.7
05-1994	109.4
06-1994	109.6
07-1994	109.9
08-1994	110.2
09-1994	110.2
10-1994	110.1
11-1994	110.1
12-1994	110.2
01-1995	110.3
02-1995	110.3
03-1995	110.8
04-1995	111.4
05-1995	111.9
06-1995	112.3
07-1995	112.8
08-1995	113.3
09-1995	113.2
10-1995	113.1
11-1995	113.0
12-1995	113.2
01-1996	113.4
02-1996	113.6
03-1996	114.2
04-1996	114.9
05-1996	115.5
06-1996	115.8
07-1996	116.1
08-1996	116.5
09-1996	116.4
10-1996	116.3
11-1996	116.2
12-1996	116.3
01-1997	116.4
02-1997	116.4
03-1997	117.2
04-1997	118.0
05-1997	118.7
06-1997	119.0
07-1997	119.3
08-1997	119.6
09-1997	119.8
10-1997	119.9
11-1997	120.0
12-1997	120.4
01-1998	120.7
02-1998	121.1
03-1998	122.1
04-1998	123.1
05-1998	124.2
06-1998	124.7
07-1998	125.2
08-1998	125.8
09-1998	126.1
10-1998	126.5
11-1998	126.9
12-1998	127.4
01-1999	127.8
02-1999	128.3
03-1999	129.4
04-1999	130.5
05-1999	131.6
06-1999	132.4
07-1999	133.1
08-1999	133.8
09-1999	134.1
10-1999	134.4
11-1999	134.7
12-1999	135.3
01-2000	136.0
02-2000	136.6
03-2000	137.9
04-2000	139.2
05-2000	140.5
06-2000	141.2
07-2000	142.0
08-2000	142.8
09-2000	143.2
10-2000	143.7
11-2000	144.1
12-2000	144.8
01-2001	145.6
02-2001	146.3
03-2001	147.6
04-2001	148.9
05-2001	150.3
06-2001	151.1
07-2001	151.9
08-2001	152.8
09-2001	153.1
10-2001	153.5
11-2001	153.8
12-2001	154.5
01-2002	155.1
02-2002	155.7
03-2002	157.3
04-2002	158.9
05-2002	160.4
06-2002	161.6
07-2002	162.7
08-2002	163.9
09-2002	164.5
10-2002	165.1
11-2002	165.7
12-2002	166.4
01-2003	167.1
02-2003	167.8
03-2003	169.4
04-2003	170.9
05-2003	172.5
06-2003	173.8
07-2003	175.0
08-2003	176.3
09-2003	177.1
10-2003	177.9
11-2003	178.7
12-2003	179.6
01-2004	180.6
02-2004	181.6
03-2004	184.0
04-2004	186.3
05-2004	188.7
06-2004	190.4
07-2004	192.2
08-2004	194.0
09-2004	194.9
10-2004	195.8
11-2004	196.7
12-2004	198.0
01-2005	199.2
02-2005	200.5
03-2005	203.3
04-2005	206.0
05-2005	208.8
06-2005	210.8
07-2005	212.7
08-2005	214.7
09-2005	215.4
10-2005	216.1
11-2005	216.9
12-2005	217.6
01-2006	218.3
02-2006	218.9
03-2006	220.7
04-2006	222.4
05-2006	224.1
06-2006	224.2
07-2006	224.3
08-2006	224.5
09-2006	224.0
10-2006	223.6
11-2006	223.1
12-2006	223.2
01-2007	223.2
02-2007	223.3
03-2007	224.5
04-2007	225.7
05-2007	226.9
06-2007	225.9
07-2007	225.0
08-2007	224.0
09-2007	221.8
10-2007	219.7
11-2007	217.5
12-2007	215.3
01-2008	213.0
02-2008	210.8
03-2008	210.2
04-2008	209.6
05-2008	208.9
06-2008	207.4
07-2008	205.8
08-2008	204.2
09-2008	201.1
10-2008	197.9
11-2008	194.8
12-2008	194.2
01-2009	193.7
02-2009	193.1
03-2009	193.4
04-2009	193.8
05-2009	194.2
06-2009	193.9
07-2009	193.6
08-2009	193.3
09-2009	192.6
10-2009	191.9
11-2009	191.2
12-2009	189.6
01-2010	188.0
02-2010	186.4
03-2010	188.0
04-2010	189.6
05-2010	191.2
06-2010	189.9
07-2010	188.6
08-2010	187.2
09-2010	186.0
10-2010	184.9
11-2010	183.7
12-2010	181.2
01-2011	178.7
02-2011	176.2
03-2011	177.6
04-2011	178.9
05-2011	180.3
06-2011	180.6
07-2011	181.0
08-2011	181.3
09-2011	180.5
10-2011	179.7
11-2011	178.9
12-2011	178.2
01-2012	177.5
02-2012	176.9
03-2012	180.0
04-2012	183.0
05-2012	186.1
06-2012	186.7
07-2012	187.2
08-2012	187.8
09-2012	187.8
10-2012	187.8
11-2012	187.9
12-2012	188.3
01-2013	188.7
02-2013	189.2
03-2013	192.6
04-2013	196.0
05-2013	199.5
06-2013	200.6
07-2013	201.7
08-2013	202.7
09-2013	202.3
10-2013	201.8
11-2013	201.4
12-2013	201.5
01-2014	201.6
02-2014	201.8
03-2014	204.4
04-2014	207.0
05-2014	209.6
06-2014	210.4
07-2014	211.1
08-2014	211.9
09-2014	211.6
10-2014	211.4
11-2014	211.1
12-2014	211.5
01-2015	211.8
02-2015	212.1
03-2015	215.2
04-2015	218.3
05-2015	221.4
06-2015	222.1
07-2015	222.9
08-2015	223.6
09-2015	223.6
10-2015	223.6
11-2015	223.6
12-2015	224.1
01-2016	224.6
02-2016	225.1
03-2016	228.1
04-2016	231.2
05-2016	234.3
06-2016	235.4
07-2016	236.6
08-2016	237.7
09-2016	237.7
10-2016	237.6
11-2016	237.5
12-2016	238.0
01-2017	238.6
02-2017	239.1
03-2017	241.1
04-2017	243.2
05-2017	245.2
06-2017	247.1
